OSObject,
OSObject.AppleARMFunction.AppleT700XTempSensorDisableSensorFunction,0
OSObject.AppleARMFunction.AppleT8015AMCPerfFunction,0
OSObject.AppleARMFunction.AppleT8015FunctionEnableCPUCore,0
OSObject.AppleARMFunction.AppleT8015MemCacheModeFunction,0
OSObject.AppleARMFunction.AppleT8015MemCachePanicFunction,0
OSObject.AppleARMFunction.M3MipiCommand,0
OSObject.AppleARMFunction.SetSystemIdleState,0
OSObject.AppleBasebandPCIMemoryPolicyInfo,0
OSObject.AppleBasebandPCIMemoryPolicy,0
OSObject.AppleBCMWLANBGScanManager,0
OSObject.AppleBCMWLANBSSBeacon,0
OSObject.AppleBCMWLANChanSpec,0
OSObject.AppleBCMWLANChipBackplane,0
OSObject.AppleBCMWLANChipConfigSpace,0
OSObject.AppleBCMWLANChipLogger,0
OSObject.AppleBCMWLANChipManagerPCIe,0
OSObject.AppleBCMWLANChipManager,0
OSObject.AppleBCMWLANChipMemory,0
OSObject.AppleBCMWLANChipUART,0
OSObject.AppleBCMWLANCommandMonitor,0
OSObject.AppleBCMWLANCommandQueue,0
OSObject.AppleBCMWLANCommandWithXTLV,0
OSObject.AppleBCMWLANConfigManager,0
OSObject.AppleBCMWLANCoreDbg,0
OSObject.AppleBCMWLANDMASlab,0
OSObject.AppleBCMWLANDynamicRingOperationContext,0
OSObject.AppleBCMWLANEnterpriseManager,0
OSObject.AppleBCMWLANGASManager,0
OSObject.AppleBCMWLANHistogram,0
OSObject.AppleBCMWLANIOReporting,
OSObject.AppleBCMWLANIOReporting.AppleBCMWLANIOReportingCore,0
OSObject.AppleBCMWLANIOReporting.AppleBCMWLANIOReportingPerSlice,0
OSObject.AppleBCMWLANJoinManager,0
OSObject.AppleBCMWLANKeepAliveOffload,0
OSObject.AppleBCMWLANLeakyApParser,0
OSObject.AppleBCMWLANLogger,0
OSObject.AppleBCMWLANNetManager,0
OSObject.AppleBCMWLANPacketTransmitter,0
OSObject.AppleBCMWLANPCIeDoorbell,0
OSObject.AppleBCMWLANPCIeMMIOHistory,0
OSObject.AppleBCMWLANPCIeSnapshotContext,0
OSObject.AppleBCMWLANPlatformFunctionEventTimestamp,0
