id,value
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController.AppleGen1SPMIController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController.AppleGen0SPMIController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController.AppleGen2SPMIController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleARMSPMIController.AppleSPMIController.AppleGen4SPMIController,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleDialogPMU,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleEmbeddedPCIEPort,
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleEmbeddedPCIEPort.AppleT8132PCIePort,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleEmbeddedPCIEPort.AppleT8140PCIePort,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleGPIOICController,
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleGPIOICController.AppleT8006GPIOIC,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleGPIOICController.AppleT8101GPIOIC,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleGPIOICController.AppleS5L8960XGPIOIC,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleInterruptControllerV3,0
OSObject.IORegistryEntry.IOService.IOInterruptController.ApplePTD,0
OSObject.IORegistryEntry.IOService.IOInterruptController.AppleSMCPMU,0
OSObject.IORegistryEntry.IOService.IOInterruptController.IOPCIMessagedInterruptController,
OSObject.IORegistryEntry.IOService.IOInterruptController.IOPCIMessagedInterruptController.ApplePCIEMSIController,0
OSObject.IORegistryEntry.IOService.IOUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022,
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOKitDiagnosticsClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOUserServer,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.RootDomainUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleARMQuadSPIDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleAVDUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AFKSharedMemoryUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AFKEndpointInterfaceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AFKMemoryDescriptorManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AFKResourceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.H11ANEInUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.H11ANEInDirectPathClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AHSPowerInterfaceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleInterruptControllerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleJPEGDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleProcessorTraceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleSMCACAMUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleSPUGNSSDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleSPUFastpathDriverUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleGasGaugeUpdateUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleSmartBatteryUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleSmartIOUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleStockholmControlUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.AppleUVDMUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPortFeatureUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPortFeatureUserClient.IOPortFeatureLDCMUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOAccessoryIDBusSystemStatesUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPortTransportAIDBusUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOHIDEventServiceFastPathUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOHIDLibUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOHIDEventServiceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOHIDResourceDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPAudioClientManagerDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPAudioIsolatedIOBufferDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPAudioLPMicDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOPAudioVoiceTriggerDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOSurfaceRootUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserClient2022.IOTimeSyncDaemonUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOUserUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.ASIOKitUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AUCUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAOPAudioUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAOPButtonHapticsServiceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleAOPAudioPCMAssetManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.AppleARMIICUserClient,0
